Time    S       E       I_NS    I_Sy    I_Sev   I_Crit  R       D      
 2.7500 2145.0000 6478.0000 1241.0000 87.0000  0.0000  2.0000 44.0000  3.0000
 2.7917 1972.0000 6603.0000 1282.0000 97.0000  0.0000  2.0000 41.0000  3.0000
 2.8333 1837.0000 6679.0000 1342.0000 101.0000  0.0000  2.0000 36.0000  3.0000
 2.8750 1742.0000 6721.0000 1390.0000 111.0000  0.0000  2.0000 31.0000  3.0000
 2.9167 1664.0000 6740.0000 1445.0000 121.0000  0.0000  2.0000 25.0000  3.0000
 2.9583 1594.0000 6743.0000 1508.0000 125.0000  0.0000  2.0000 25.0000  3.0000
 3.0000 1540.0000 6737.0000 1568.0000 126.0000  0.0000  2.0000 24.0000  3.0000
 3.0417 1509.0000 6699.0000 1633.0000 130.0000  0.0000  2.0000 24.0000  3.0000
 3.0833 1497.0000 6637.0000 1702.0000 134.0000  0.0000  2.0000 25.0000  3.0000
 3.1250 1486.0000 6574.0000 1773.0000 139.0000  0.0000  2.0000 23.0000  3.0000
 3.1667 1482.0000 6527.0000 1823.0000 143.0000  0.0000  2.0000 20.0000  3.0000
 3.2083 1478.0000 6473.0000 1874.0000 150.0000  0.0000  2.0000 20.0000  3.0000
 3.2500 1475.0000 6421.0000 1920.0000 158.0000  0.0000  2.0000 21.0000  3.0000
 3.2917 1474.0000 6361.0000 1978.0000 161.0000  0.0000  2.0000 21.0000  3.0000
 3.3333 1468.0000 6303.0000 2033.0000 171.0000  0.0000  2.0000 20.0000  3.0000
 3.3750 1465.0000 6250.0000 2069.0000 177.0000  0.0000  2.0000 34.0000  3.0000
 3.4167 1446.0000 6212.0000 2120.0000 181.0000  0.0000  2.0000 36.0000  3.0000
 3.4583 1425.0000 6171.0000 2171.0000 189.0000  0.0000  2.0000 39.0000  3.0000
 3.5000 1406.0000 6120.0000 2223.0000 201.0000  0.0000  2.0000 45.0000  3.0000
 3.5417 1370.0000 6090.0000 2278.0000 209.0000  0.0000  2.0000 48.0000  3.0000
 3.5833 1313.0000 6086.0000 2328.0000 210.0000  0.0000  2.0000 58.0000  3.0000
 3.6250 1285.0000 6052.0000 2370.0000 224.0000  0.0000  2.0000 64.0000  3.0000
 3.6667 1180.0000 6095.0000 2428.0000 233.0000  0.0000  2.0000 59.0000  3.0000
 3.7083 1109.0000 6104.0000 2485.0000 240.0000  0.0000  2.0000 57.0000  3.0000
 3.7500 1040.0000 6119.0000 2540.0000 247.0000  0.0000  2.0000 49.0000  3.0000
 3.7917 1010.0000 6108.0000 2582.0000 258.0000  0.0000  2.0000 37.0000  3.0000
 3.8333 1002.0000 6050.0000 2638.0000 267.0000  0.0000  2.0000 38.0000  3.0000
 3.8750 997.0000 6011.0000 2679.0000 279.0000  0.0000  2.0000 29.0000  3.0000
 3.9167 997.0000 5944.0000 2738.0000 284.0000  0.0000  2.0000 32.0000  3.0000
