,0-4,5-17,18-29,30-39,40-49,50-59,60-69,70+
0-4,0.46296296296296297,0.3148148148148148,0.24074074074074073,0.42592592592592593,0.16666666666666666,0.16666666666666666,0.14814814814814814,0.037037037037037035
5-17,0.9444444444444444,1.7222222222222223,0.5925925925925926,1.1851851851851851,1.0740740740740742,0.3888888888888889,0.4444444444444444,0.3888888888888889
18-29,0.6851851851851852,0.5555555555555556,1.1481481481481481,0.3888888888888889,0.5925925925925926,0.5370370370370371,0.3333333333333333,0.14814814814814814
30-39,1.0925925925925926,1.0740740740740742,0.35185185185185186,0.8518518518518519,0.35185185185185186,0.3333333333333333,0.42592592592592593,0.1111111111111111
40-49,0.4444444444444444,0.9814814814814815,0.5370370370370371,0.35185185185185186,0.6481481481481481,0.2777777777777778,0.3333333333333333,0.4074074074074074
50-59,0.3888888888888889,0.2777777777777778,0.4444444444444444,0.2777777777777778,0.24074074074074073,0.5555555555555556,0.3148148148148148,0.24074074074074073
60-69,0.24074074074074073,0.25925925925925924,0.2037037037037037,0.25925925925925924,0.2222222222222222,0.24074074074074073,0.6481481481481481,0.2222222222222222
70+,0.09259259259259259,0.25925925925925924,0.09259259259259259,0.07407407407407407,0.3148148148148148,0.2037037037037037,0.25925925925925924,0.5925925925925926
