,0-4,5-17,18-29,30-39,40-49,50-59,60-69,70+
0-4,0.5,0.14814814814814814,0.12962962962962962,0.2037037037037037,0.05555555555555555,0.05555555555555555,0.037037037037037035,0.018518518518518517
5-17,0.3888888888888889,2.4074074074074074,0.4444444444444444,0.5370370370370371,0.5185185185185185,0.24074074074074073,0.2037037037037037,0.14814814814814814
18-29,0.35185185185185186,0.4074074074074074,1.1481481481481481,0.48148148148148145,0.48148148148148145,0.4074074074074074,0.25925925925925924,0.14814814814814814
30-39,0.5185185185185185,0.5,0.46296296296296297,0.7407407407407407,0.5185185185185185,0.3888888888888889,0.35185185185185186,0.1111111111111111
40-49,0.16666666666666666,0.46296296296296297,0.46296296296296297,0.5,0.7592592592592593,0.4074074074074074,0.3333333333333333,0.25925925925925924
50-59,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.35185185185185186,0.48148148148148145,0.3148148148148148,0.2037037037037037
60-69,0.09259259259259259,0.1111111111111111,0.16666666666666666,0.2222222222222222,0.2222222222222222,0.24074074074074073,0.3148148148148148,0.2222222222222222
70+,0.037037037037037035,0.1111111111111111,0.1111111111111111,0.07407407407407407,0.2222222222222222,0.2037037037037037,0.25925925925925924,0.35185185185185186
