,0-4,5-17,18-29,30-39,40-49,50-59,60-69,70+
0-4,0.25925925925925924,0.1111111111111111,0.16666666666666666,0.16666666666666666,0.05555555555555555,0.09259259259259259,0.037037037037037035,0.037037037037037035
5-17,0.3148148148148148,1.5555555555555556,0.5,0.35185185185185186,0.4444444444444444,0.24074074074074073,0.16666666666666666,0.14814814814814814
18-29,0.4444444444444444,0.48148148148148145,1.7592592592592593,0.6851851851851852,0.48148148148148145,0.5925925925925926,0.46296296296296297,0.3888888888888889
30-39,0.4444444444444444,0.3148148148148148,0.6666666666666666,0.8703703703703703,0.6481481481481481,0.6481481481481481,0.5,0.24074074074074073
40-49,0.16666666666666666,0.3888888888888889,0.4444444444444444,0.6296296296296297,1.0,0.6111111111111112,0.5185185185185185,0.48148148148148145
50-59,0.2037037037037037,0.2037037037037037,0.48148148148148145,0.5370370370370371,0.5185185185185185,0.8518518518518519,0.7222222222222222,0.48148148148148145
60-69,0.07407407407407407,0.09259259259259259,0.25925925925925924,0.3333333333333333,0.35185185185185186,0.5370370370370371,0.42592592592592593,0.5555555555555556
70+,0.07407407407407407,0.1111111111111111,0.25925925925925924,0.2037037037037037,0.3888888888888889,0.4444444444444444,0.6666666666666666,0.7407407407407407
