,0-4,5-17,18-29,30-39,40-49,50-59,60-69,70+
0-4,0.036887054220214786,0.010246403950059664,0.07407407407407407,0.14814814814814814,0.05555555555555555,0.0,0.0,0.0
5-17,0.028689931060167057,0.44264465064257746,0.16666666666666666,0.3148148148148148,0.4074074074074074,0.16666666666666666,0.018518518518518517,0.0
18-29,0.026640650270155126,0.0819712316004773,0.46296296296296297,0.2777777777777778,0.037037037037037035,0.037037037037037035,0.018518518518518517,0.0
30-39,0.036887054220214786,0.07377410844042957,0.037037037037037035,0.24074074074074073,0.16666666666666666,0.037037037037037035,0.018518518518518517,0.0
40-49,0.016394246320095462,0.07992195081046538,0.1111111111111111,0.018518518518518517,0.24074074074074073,0.25925925925925924,0.0,0.0
50-59,0.008197123160047731,0.034837773430202855,0.09259259259259259,0.018518518518518517,0.037037037037037035,0.12962962962962962,0.2037037037037037,0.0
60-69,0.0040985615800238654,0.016394246320095462,0.0,0.018518518518518517,0.0,0.0,0.14814814814814814,0.037037037037037035
70+,0.008197123160047731,0.018443527110107393,0.0,0.018518518518518517,0.0,0.0,0.037037037037037035,0.35185185185185186
