,0-4,5-17,18-29,30-39,40-49,50-59,60-69,70+
0-4,1.8888888888888888,0.5,0.48148148148148145,0.7407407407407407,0.25925925925925924,0.25925925925925924,0.2037037037037037,0.07407407407407407
5-17,1.462962962962963,8.814814814814815,1.6296296296296295,2.0555555555555554,1.9444444444444444,0.8703703703703703,0.7222222222222222,0.5555555555555556
18-29,1.2962962962962963,1.537037037037037,4.333333333333333,1.7777777777777777,1.8333333333333333,1.537037037037037,1.037037037037037,0.5740740740740741
30-39,1.9444444444444444,1.8333333333333333,1.7407407407407407,2.740740740740741,1.9444444444444444,1.4814814814814814,1.2962962962962963,0.3888888888888889
40-49,0.6851851851851852,1.7407407407407407,1.7407407407407407,1.9074074074074074,2.8703703703703702,1.5,1.2592592592592593,1.0740740740740742
50-59,0.6111111111111112,0.6666666666666666,1.2592592592592593,1.2592592592592593,1.2962962962962963,1.8333333333333333,1.2592592592592593,0.7592592592592593
60-69,0.35185185185185186,0.42592592592592593,0.6666666666666666,0.8518518518518519,0.8333333333333334,0.9444444444444444,1.1481481481481481,0.8333333333333334
70+,0.16666666666666666,0.3888888888888889,0.4444444444444444,0.3148148148148148,0.8518518518518519,0.7222222222222222,0.9814814814814815,1.2962962962962963
