,0-4,5-17,18-29,30-39,40-49,50-59,60-69,70+
0-4,0.02549260993062573,0.010925404255982455,0.0,0.0,0.0,0.0,0.0,0.037037037037037035
5-17,0.030955312058616957,0.15295565958375437,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.0,0.0
18-29,0.04370161702392982,0.04734341844259064,0.16666666666666666,0.09259259259259259,0.07407407407407407,0.09259259259259259,0.1111111111111111,0.09259259259259259
30-39,0.04370161702392982,0.030955312058616957,0.018518518518518517,0.037037037037037035,0.05555555555555555,0.07407407407407407,0.07407407407407407,0.07407407407407407
40-49,0.016388106383973682,0.03823891489593859,0.05555555555555555,0.037037037037037035,0.1111111111111111,0.07407407407407407,0.09259259259259259,0.037037037037037035
50-59,0.0200299078026345,0.0200299078026345,0.018518518518518517,0.037037037037037035,0.037037037037037035,0.07407407407407407,0.1111111111111111,0.05555555555555555
60-69,0.007283602837321637,0.009104503546652046,0.0,0.0,0.018518518518518517,0.0,0.07407407407407407,0.07407407407407407
70+,0.007283602837321637,0.010925404255982455,0.0,0.018518518518518517,0.037037037037037035,0.07407407407407407,0.037037037037037035,0.2037037037037037
