,0-4,5-17,18-29,30-39,40-49,50-59,60-69,70+
0-4,0.3333333333333333,0.09259259259259259,0.07407407407407407,0.12962962962962962,0.037037037037037035,0.037037037037037035,0.018518518518518517,0.037037037037037035
5-17,0.25925925925925924,4.0,0.7592592592592593,0.7222222222222222,0.7962962962962963,0.4074074074074074,0.24074074074074073,0.24074074074074073
18-29,0.24074074074074073,0.7407407407407407,2.388888888888889,1.1851851851851851,1.0925925925925926,0.9814814814814815,0.6666666666666666,0.3888888888888889
30-39,0.3333333333333333,0.6666666666666666,1.1111111111111112,1.5,1.2592592592592593,1.0,0.7592592592592593,0.25925925925925924
40-49,0.14814814814814814,0.7222222222222222,1.0185185185185186,1.1851851851851851,1.9074074074074074,1.0740740740740742,0.8518518518518519,0.5185185185185185
50-59,0.07407407407407407,0.3148148148148148,0.7592592592592593,0.8333333333333334,0.9444444444444444,1.0925925925925926,0.7592592592592593,0.5555555555555556
60-69,0.037037037037037035,0.14814814814814814,0.42592592592592593,0.5,0.5740740740740741,0.5925925925925926,0.5925925925925926,0.4444444444444444
70+,0.07407407407407407,0.16666666666666666,0.25925925925925924,0.2037037037037037,0.4444444444444444,0.5,0.5185185185185185,0.5925925925925926
