Susceptible Exposed Carrier Infected Hospitalized ICU Recovered Dead "Damping Factor"
177952.4782047181 150.3505575221724 48.740541662092646 32.49925720645022 34.07065940057429 13.28037254606123 6.281039116811325 0.0 0.0
177902.5958538177 153.23119293795781 67.8519743076237 52.073925675269756 29.783250839812993 15.148120365926086 16.15940720477316 0.8569070232391536 0.0
177836.43576378652 169.2713453937603 82.37270161053377 75.31479455717574 27.019879219613028 16.353563655274794 29.12801527009185 1.8045686793118145 0.0
177754.7489311804 194.3507361727311 96.67779597889064 100.7761680108021 25.619798299028798 17.155330789069293 45.56057406279532 2.811297678549605 0.0
177656.37727002014 227.06926650709633 112.87345957155632 128.51640925704797 25.429175828790683 17.75775286623847 65.81804774345281 3.8592503779573373 0.0
177539.02159212623 267.3721708647826 132.12236755459705 159.23192937009048 26.336223258148674 18.321598361984858 90.35327319697807 4.941477439445286 0.0
177399.5425989927 315.93727108143753 155.24179612744132 193.9062680642869 28.279687325296436 18.975586072479707 119.75776537110622 6.059659137485868 0.6314079092713034
177288.37852026164 324.18290958474813 178.80910682809005 233.2751099627194 31.245038108689453 19.82659253739247 154.76085742063168 7.222497468287306 0.6314079092713034
177219.83019933605 296.1797856046967 188.07861004089227 273.2923376284111 35.17266416025002 20.96431897636632 195.7381109357108 8.444605489805657 0.6314079092713034
177146.78969964694 279.4926038414386 188.52758441764462 308.6521432271049 39.81030656090746 22.447876868198 242.2352545351324 9.74516307482763 0.6314079092713034
177071.20276736916 269.43989729088804 185.61441883150917 337.7236536728732 44.82773148773996 24.292706506982164 293.4538546702136 11.145602342826248 0.6314079092713034
176994.11991338176 263.3530601150607 181.86960832259143 360.7168658183879 49.93126399214231 26.475294184166632 348.5675658561139 12.66706050194852 0.6314079092713034
176916.1129094194 259.68431177780207 178.3692298410726 378.51711855711153 54.90013794627977 28.94543746538939 406.84308942465594 14.3283977404883 0.6314079092713034
176837.49522031803 257.519598722559 175.49082669503318 392.1500618420411 59.58728697612503 31.638631518467246 467.67402975704425 16.14497634287665 0.6314079092713034
176758.4405286153 256.3083345665799 173.2949937683287 402.5585770056033 63.90703854314941 34.485922637870736 530.5771236621196 18.128113373270732 0.6314079092713034
176679.04654441262 255.7119430720432 171.71307686254232 410.52877497870486 67.81988579190576 37.42075477735777 595.1746189577598 20.285033319270823 0.6314079092713034
176599.36952412326 255.51775356751202 170.63627701152444 416.6822686167125 71.31863196827575 40.38315097806194 661.173876290455 22.619149616413285 0.6314079092713034
176519.4429402684 255.5894352784653 169.9549104506357 421.49519443367734 74.41718146041187 43.32187272320757 728.3485654997093 25.130532057733475 0.6314079092713034
176439.28761791176 255.8379607204613 169.57337490999694 425.3250217981571 77.14209256794594 46.19514861487954 796.5229554317123 27.81646021732732 0.6314079092713034
176358.91733975458 256.2041567427429 169.41426518577475 428.4361761320113 79.52661416222634 48.97046564855039 865.559627309029 30.671987237332857 0.6314079092713034
176278.34193640586 256.64802733183706 169.41748122866795 431.0223673550907 81.60655873631336 51.62382751934926 935.3499598100343 33.69047378507587 0.6314079092713034
176197.56884767718 257.1424600875212 169.5370879187006 433.2248476639367 83.41765347096698 54.13867373867716 1005.8069842033844 36.86407741187616 0.6314079092713034
176116.60436683975 257.6684042857286 169.73939670833767 435.14545208479103 84.99387317101899 56.50483360443541 1076.8601605724796 40.184144905679275 0.6314079092713034
176035.45388029222 258.21279945953415 169.99917199797068 436.8579865080583 86.36654673742036 58.717291023129086 1148.451373137675 43.64158301619566 0.6314079092713034
175954.12231508564 258.7665170684596 170.2979749627819 438.41542706858667 87.56396070010246 60.775158974466706 1220.5321490497888 47.22712926239333 0.6314079092713034
175872.61437224632 259.3230271231163 170.62252187687986 439.85569256160045 88.61118100065073 62.68079722763271 1293.061477172816 50.93156296323511 0.6314079092713034
175790.93461721408 259.87758938135033 170.96317525398524 441.20614582937696 89.53008958736729 64.43899709619001 1366.004138495801 54.74587931407755 0.6314079092713034
175709.08745187958 260.426995246931 171.31289217296876 442.4861412201487 90.33977646624943 66.05619893988096 1439.329753766336 58.66142248014944 0.6314079092713034
175627.07726182885 260.9688841862264 171.66666569864813 443.70943339753336 91.0566512288006 67.54003357456634 1513.011745193654 62.669957063945475 0.6314079092713034
175544.90842160472 261.50148755019865 172.02081554587707 444.8860544846452 91.69466171762306 68.8988834601154 1587.0265801704168 66.76372763862459 0.6314079092713034
175462.58528964178 262.02354569573964 172.3726940216641 446.0230475639424 92.26571937759569 70.14144852451254 1661.3533902415902 70.9354971054158 0.6314079092713034
175380.11222644558 262.5341592422088 172.72043013052544 447.1252531411119 92.77994903121636 71.27650420471188 1735.9735585481558 75.17855142871866 0.6314079092713034
175297.49361264752 263.0326401799821 173.062672322568 448.1960985385366 93.2458805886868 72.31271136503292 1810.8703176001657 79.4866989297595 0.6314079092713034
175214.7338430813 263.5184764643407 173.39842958461182 449.2379764400432 93.67068357218572 73.2584609475556 1886.028503837904 83.85425824428941 0.6314079092713034
175131.83731638305 263.99126216667895 173.72676426551445 450.25297863748193 94.0603041770316 74.1217300943382 1961.434219364212 88.2760570839432 0.6314079092713034
33591.98656986906 119.04426043066654 85.30009145222628 104.76081708157825 3.691394090567596 1.9096448824696577 13.733478207863595 0.0 0.0
33506.71034781091 160.4830993299805 88.4844119410278 124.01347274830309 7.2488403024039885 2.2876104981188536 31.074500758524678 0.12397262516407287 0.0
33411.735670193746 199.25597595635847 100.29532109380695 143.55494235017525 10.89409500120658 3.032431831130333 51.37597352999929 0.28184605800430806 0.0
