,0-4,5-17,18-29,30-39,40-49,50-59,60-69,70+
0-4,0.0,0.0,0.018518518518518517,0.037037037037037035,0.018518518518518517,0.0,0.0,0.0
5-17,0.0,0.037037037037037035,0.24074074074074073,0.16666666666666666,0.2222222222222222,0.05555555555555555,0.0,0.0
18-29,0.05555555555555555,0.24074074074074073,0.8518518518518519,0.6666666666666666,0.6851851851851852,0.3333333333333333,0.2037037037037037,0.037037037037037035
30-39,0.14814814814814814,0.14814814814814814,0.6296296296296297,0.8333333333333334,0.8518518518518519,0.4444444444444444,0.2222222222222222,0.037037037037037035
40-49,0.037037037037037035,0.2037037037037037,0.6296296296296297,0.8333333333333334,1.1481481481481481,0.5,0.3148148148148148,0.12962962962962962
50-59,0.0,0.037037037037037035,0.25925925925925924,0.3888888888888889,0.4444444444444444,0.35185185185185186,0.16666666666666666,0.037037037037037035
60-69,0.0,0.0,0.14814814814814814,0.14814814814814814,0.2037037037037037,0.12962962962962962,0.037037037037037035,0.0
70+,0.0,0.0,0.018518518518518517,0.018518518518518517,0.09259259259259259,0.037037037037037035,0.0,0.0
