,0-4,5-17,18-29,30-39,40-49,50-59,60-69,70+
0-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5-17,0.0,0.006992455820020311,0.037037037037037035,0.018518518518518517,0.0,0.0,0.0,0.0
18-29,0.010488683730030467,0.04545096283013202,0.14814814814814814,0.2222222222222222,0.12962962962962962,0.1111111111111111,0.037037037037037035,0.0
30-39,0.027969823280081244,0.027969823280081244,0.09259259259259259,0.2037037037037037,0.14814814814814814,0.14814814814814814,0.07407407407407407,0.0
40-49,0.006992455820020311,0.03845850701011171,0.037037037037037035,0.14814814814814814,0.16666666666666666,0.14814814814814814,0.037037037037037035,0.0
50-59,0.0,0.006992455820020311,0.018518518518518517,0.05555555555555555,0.14814814814814814,0.14814814814814814,0.037037037037037035,0.0
60-69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
