,0-4,5-17,18-29,30-39,40-49,50-59,60-69,70+
0-4,1.1481481481481481,0.05555555555555555,0.037037037037037035,0.07407407407407407,0.018518518518518517,0.0,0.0,0.0
5-17,0.2037037037037037,5.62962962962963,0.24074074074074073,0.3148148148148148,0.24074074074074073,0.14814814814814814,0.07407407407407407,0.0
18-29,0.12962962962962962,0.24074074074074073,0.48148148148148145,0.07407407407407407,0.07407407407407407,0.0,0.018518518518518517,0.0
30-39,0.24074074074074073,0.2777777777777778,0.07407407407407407,0.12962962962962962,0.09259259259259259,0.0,0.1111111111111111,0.0
40-49,0.07407407407407407,0.2222222222222222,0.07407407407407407,0.09259259259259259,0.07407407407407407,0.05555555555555555,0.018518518518518517,0.0
50-59,0.0,0.1111111111111111,0.0,0.0,0.037037037037037035,0.037037037037037035,0.0,0.0
60-69,0.0,0.037037037037037035,0.0,0.05555555555555555,0.0,0.0,0.0,0.0
70+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
