,0-4,5-17,18-29,30-39,40-49,50-59,60-69,70+
0-4,0.23951568107334295,0.1628706631298732,0.09259259259259259,0.16666666666666666,0.05555555555555555,0.0,0.0,0.0
5-17,0.4886119893896195,0.8909983335928356,0.25925925925925924,0.3888888888888889,0.6296296296296297,0.25925925925925924,0.037037037037037035,0.0
18-29,0.35448320798854754,0.2874188172880115,0.8333333333333334,0.5555555555555556,0.14814814814814814,0.24074074074074073,0.12962962962962962,0.0
30-39,0.5652570073330893,0.5556763800901556,0.037037037037037035,0.35185185185185186,0.3148148148148148,0.07407407407407407,0.09259259259259259,0.018518518518518517
40-49,0.2299350538304092,0.5077732438754871,0.2777777777777778,0.037037037037037035,0.4444444444444444,0.42592592592592593,0.037037037037037035,0.05555555555555555
50-59,0.20119317210160806,0.14370940864400575,0.25925925925925924,0.09259259259259259,0.05555555555555555,0.3148148148148148,0.42592592592592593,0.037037037037037035
60-69,0.12454815415813832,0.134128781401072,0.018518518518518517,0.037037037037037035,0.018518518518518517,0.018518518518518517,0.3333333333333333,0.14814814814814814
70+,0.04790313621466859,0.134128781401072,0.018518518518518517,0.037037037037037035,0.037037037037037035,0.09259259259259259,0.12962962962962962,0.7407407407407407
