"","distance","seed","kappa","initE","damp_time","damp_lvl"
1,2734.2611842979327,136814017,0.7739701633425016,0.0001041191725859534,13.0,0.18560747895540539
2,2922.353819922668,363349813,0.48149997245483134,8.022898139065408e-05,22.0,0.21621836586859364
3,1735.831905287932,698582429,0.7580321065523665,9.207607549230672e-05,15.0,0.1570530013525695
4,3981.636869634835,946383691,0.5867923479608956,0.00010379319854140832,14.0,0.22414113796477986
5,3404.0683588603533,558964964,0.5222702660502294,0.00011036343431047598,23.0,0.14570708035790725
6,3078.7986128103007,248778033,0.9724914047079571,7.580790554048273e-05,15.0,0.08596290115052085
7,4176.263933796317,733695650,0.45254683525855194,7.46695588361622e-05,25.0,0.15413945056455003
8,4012.317140496222,638728315,0.7385491077018016,5.331649356486021e-05,20.0,0.12843735612402873
9,3832.694370063743,509951038,0.48175976030486606,0.00011566141082696849,19.0,0.27744461676524357
10,3620.9937404680873,115067954,1.1124506720448122,0.00010791105008812984,11.0,0.10752653419612827
11,3812.289117987456,665286788,1.0621651751499628,6.676867917274655e-05,15.0,0.07633714346037053
12,1935.9665411946776,546119200,0.749981396841256,0.00010137925895933213,15.0,0.1519289014467333
13,1979.9799016650984,138435955,0.9291432664330498,6.291916344994702e-05,15.0,0.12504156536751784
14,4173.077858775861,853163218,0.6555249964124403,5.839990417883904e-05,23.0,0.10049821992876973
15,3989.395646750387,840817889,1.1036276735997137,3.100747400563477e-05,12.0,0.13835361087340955
16,4096.088900278219,345822307,0.6854674431953567,9.916164203570285e-05,13.0,0.22587705803007013
17,2264.3267886512253,742503975,1.2990163975794904,4.803398122423015e-05,13.0,0.10789980372271878
18,3416.295011342108,744045565,0.49184647193670916,0.00012054211582915765,23.0,0.1534172358439238
19,3554.4532880218057,577182505,0.7229587855192086,4.626219641072293e-05,18.0,0.17374795288463882
20,4072.3965529946477,882170791,0.4980644695636778,9.589615470945913e-05,22.0,0.17461569254274406
21,3060.4132542306966,103144086,0.7007865533892392,6.450456986452411e-06,19.0,0.1680331540690082
22,3791.4054217301273,363432883,0.6243706023821927,7.036098133311345e-05,20.0,0.1565510122160222
23,4089.20353696368,733753983,0.6200127649088797,9.24457492240856e-05,21.0,0.1571856743940128
24,3802.6751398330507,165359571,0.9575380000497353,8.984952349680687e-05,17.0,0.07279566304405535
25,2751.8662048269543,610129859,0.7051280024809675,6.1011972180262545e-05,16.0,0.15147497358260248
26,3000.410312549068,912464202,0.8664267164912497,2.590524825615947e-05,16.0,0.09660508150889505
27,3726.910401598917,328762083,0.5203649987758795,7.921278858561501e-05,21.0,0.18156379412214177
28,3129.198337634231,747768306,0.5697199660866961,8.837614035259127e-05,22.0,0.18750818648841872
29,2841.120964993704,659272248,1.6136806591544588,8.57501331325577e-05,11.0,0.06523879547078262
30,4290.370950049729,319716114,0.809762806679866,2.045617421326833e-05,20.0,0.08274623828315726
31,3438.5983446591804,861894496,0.8238675152808227,4.7177517279935316e-05,17.0,0.09231670543644419
32,3998.9174381871953,840741675,0.6448199051598432,4.8804702156519304e-05,17.0,0.2201589662559636
33,3804.0041019649852,901729386,0.9872910020212408,0.00010609112341285638,15.0,0.08411395662441995
34,3576.6067982377767,299499425,0.5263054772599292,0.00010230199059974153,22.0,0.27821799019373006
35,3396.860684622722,255766711,0.619604885707624,6.117802174314407e-05,19.0,0.13370159891703903
36,4276.358738482659,151836092,0.4404985780319591,6.496207166603421e-05,23.0,0.3411046900291463
37,3901.2408697129936,598731426,0.996917192797568,4.2093375004952375e-05,13.0,0.10147123084424242
38,3874.2064597925178,711285006,0.8542682811088693,9.603320105924034e-05,16.0,0.08745070672399662
39,2951.140862101924,127527455,0.7086721408435059,4.106294259556651e-05,18.0,0.16628747841761798
